id;question;mediaReference;points;typeId;correctAnswerId
66;Czy w przedstawionej sytuacji jesteś ostrzegany o poprzecznej nierówności jezdni?;IMG_9274d8org.jpg;2;1;133
67;Czy w przedstawionej sytuacji jesteś ostrzegany o nierównościach na drodze, występujących na odcinku 1,2 km za znakiem?;IMG_9528d8org.jpg;2;1;135
68;Czy w przedstawionej sytuacji jesteś ostrzegany o wypukłości jezdni zastosowanej w celu spowolnienia ruchu?;IMG_9274d8org.jpg;2;1;138
69;Czy w przedstawionej sytuacji jesteś ostrzegany o wypukłości na jezdni zastosowanej w celu spowolnienia ruchu?;IMG_8384org.jpg;2;1;139
70;Czy umieszczona pod znakiem ostrzegawczym widocznym na zdjęciu tabliczka, wskazuje jego odległość od miejsca niebezpiecznego?;IMG_8384org.jpg;2;1;141
71;Czy w przedstawionej sytuacji jesteś ostrzegany o zwężeniu jezdni, które może powodować utrudnienia ruchu?;IMG_0816d8org.jpg;2;1;143
72;Czy w przedstawionej sytuacji jesteś ostrzegany o wlocie drogi z prawej strony?;IMG_6630d8org.jpg;2;1;146
73;Czy w przedstawionej sytuacji należy spodziewać się utrudnień ruchu?;IMG_7184_1org.jpg;2;1;147
74;Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do wyznaczonego na drodze przejścia dla pieszych?;843D15org.jpg;2;1;149
75;Czy w przedstawionej sytuacji jesteś ostrzegany o miejscu na drodze szczególnie często uczęszczanym przez dzieci lub o bliskości takiego miejsca?;A-17 (2)org.jpg;2;1;151
76;Czy w przedstawionej sytuacji jesteś ostrzegany o możliwości napotkania na drodze zwierząt gospodarskich?;IMG_1101d8org.jpg;2;1;153
77;Czy w przedstawionej sytuacji jesteś ostrzegany o możliwości napotkania na drodze dzikich zwierząt?;JAZDA NOCĄorg.wmv;2;1;155
78;Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do miejsca, w którym rozpoczyna się ruch dwukierunkowy?;1498D15org.jpg;2;1;157
79;Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do stromego podjazdu?;0805D14MMorg.jpg;2;1;160
80;Czy w przedstawionej sytuacji jesteś ostrzegany o miejscu, w którym rowerzyści wjeżdżają na jezdnię lub przez nią przejeżdżają?;0989D18org.jpg;2;1;161
81;Czy w przedstawionej sytuacji jesteś ostrzegany o drodze pokrytej żwirem, który może być wyrzucany spod kół jadących pojazdów?;IMG_9333d8org.jpg;2;1;163
82;Czy w przedstawionej sytuacji jesteś ostrzegany o skrzyżowaniu, na którym ruch jest kierowany za pomocą sygnalizacji świetlnej?;IMG_9157d8org.jpg;2;1;165
83;Czy w przedstawionej sytuacji, wjeżdżając na pobocze, powinieneś zrobić to ostrożnie i znacznie zmniejszyć prędkość?;IMG_1387d8org.jpg;2;1;167
84;Czy na odcinku drogi za widocznym znakiem będziesz ostrzegany o każdym występującym na niej zakręcie?;IMG_7630d8org.jpg;2;1;170
85;Czy w tej sytuacji czerwone punktowe elementy odblaskowe wyznaczają prawą krawędź jezdni?;IMG_9751org.jpg;1;1;171
86;Czy w tej sytuacji, za linią złożoną z punktowych elementów odblaskowych barwy czerwonej znajduje się pas ruchu?;IMG_9757aorg.jpg;1;1;174
87;Czy w tej sytuacji, bezpośrednio za widoczną po prawej stronie drogi linią złożoną z punktowych elementów odblaskowych barwy białej jest pobocze?;IMG_9746org.jpg;1;1;176
88;Czy w tej sytuacji, umieszczone po prawej stronie jezdni punktowe elementy odblaskowe barwy białej informują Cię o krawędzi jezdni?;IMG_9746org.jpg;1;1;178
89;Czy w przedstawionej sytuacji masz obowiązek zachować odstęp nie mniejszy niż 1 metr od wyprzedzanego rowerzysty?;D17PWCz_1org.wmv;3;1;179
90;Czy na tak oznakowanym skrzyżowaniu masz prawo wyprzedzać pojazdy poruszające się innymi pasami?;D29WCzorg.wmv;3;1;181
91;Czy w tej sytuacji możesz wyprzedzać?;D38WCz_2org.wmv;3;1;184
92;Czy w przedstawionej sytuacji zakaz wyrażony znakiem obowiązuje od miejsca jego ustawienia?;526D21org.jpg;3;1;185
93;Czy umieszczona pod tym znakiem zakazu tabliczka określa długość odcinka jezdni, na którym zakaz ten obowiązuje?;1005D15org.jpg;3;1;187
94;Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?;511_D27KW_org.wmv;3;1;189
95;Zamierzasz kontynuować jazdę na wprost. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?;518_D27KW_org.wmv;3;1;192
96;Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi, który nadjeżdża z lewej strony?;KW_D16_354org.wmv;3;1;193
97;Czy w tej sytuacji masz pierwszeństwo przed pojazdem wjeżdżającym z lewej strony na pas ruchu?;KW_D16_355org.wmv;3;1;196
98;Zamierzasz skręcić w prawo. Czy masz obowiązek ustąpienia pierwszeństwa pojazdowi, który nadjeżdża z lewej strony?;KW_D16_352org.wmv;3;1;198
99;Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa rowerzyście?;KW_D16_253org.wmv;3;1;199
100;Czy w tej sytuacji, jadąc na wprost, masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?;KW_D16_357org.wmv;3;1;201
101;Czy w tej sytuacji należy zrezygnować z rozpoczęcia wyprzedzania?;D26_395org.jpg;3;1;203
102;Czy w przedstawionej sytuacji w obszarze zabudowanym, masz obowiązek zmniejszyć prędkość, aby umożliwić kierującemu autobusem włączenie się do ruchu?;705.D34KWorg.wmv;3;1;205
103;Skręcasz w lewo na najbliższym skrzyżowaniu. Czy masz pierwszeństwo przed nadjeżdżającym pojazdem?;706.D34KWorg.wmv;3;1;208
104;Czy kierując autobusem komunikacji miejskiej na obszarze zabudowanym, powinieneś upewnić się, że wyjazd z zatoki nie spowoduje zagrożenia bezpieczeństwa ruchu drogowego?;717.D35KWorg.wmv;3;1;209
105;Czy kierując autobusem komunikacji miejskiej poza obszarem zabudowanym masz pierwszeństwo podczas włączania się do ruchu z przystanku?;717.D35KWorg.wmv;3;1;212
106;Czy w tej sytuacji, jadąc na wprost, jesteś włączającym się do ruchu?;D42_8org.wmv;3;1;213
107;Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z lewej strony?;537.D28KW_org.wmv;3;1;216
108;Czy w tej sytuacji zachowanie pieszego wymaga, abyś użył sygnału dźwiękowego?;538.D28KW_org.wmv;1;1;218
109;Zamierzasz skręcić w lewo. Czy w tej sytuacji masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?;540.D28KW_org.wmv;3;1;220
110;Czy masz obowiązek ustąpić pierwszeństwa pojazdowi szynowemu, który wyjeżdża z pętli?;544.D28KW_org.wmv;3;1;222
111;Zamierzasz jechać na wprost, a kierujący tramwajem planuje skręcić w lewo. Czy masz przed nim pierwszeństwo?;546.D28KW_org.wmv;3;1;224
112;Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?;607.D29org.wmv;3;1;225
113;Kierujesz pojazdem na obszarze zabudowanym. Czy w tej sytuacji użycie sygnału dźwiękowego jest zabronione?;610.D29GMorg.wmv;1;1;228
114;Zamierzasz jechać na wprost. Czy masz pierwszeństwo przed pojazdem szynowym skręcającym w prawo do zajezdni ?;614.D29GMorg.wmv;3;1;230
115;Zamierzasz wjechać na drogę twardą skręcając w prawo. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z lewej strony?;627.D33_2org.wmv;3;1;232
116;Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?;774. RONDO_12org.wmv;3;1;233
117;Zamierzasz skręcić w lewo. Czy masz pierwszeństwo przed pojazdem szynowym nadjeżdżającym z przeciwka?;635.D33_org.wmv;3;1;236
118;Zamierzasz skręcić w prawo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?;636.D33org.wmv;3;1;237
119;Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?;638.D33org.wmv;3;1;240
120;Czy w tej sytuacji masz pierwszeństwo przed zawracającym pojazdem?;640.D33org.wmv;3;1;242
121;Czy w tej sytuacji masz pierwszeństwo przed pojazdem jadącym na wprost przez skrzyżowanie?;641.D33org.wmv;3;1;244
122;Czy w tej sytuacji, poza obszarem zabudowanym, dozwolone jest wyprzedzenie z prawej strony jadącego przed Tobą pojazdu?;D26_144org.jpg;3;1;245
123;Czy w przedstawionej sytuacji jesteś ostrzegany o opadach śniegu?;IMG_6220d8org.jpg;2;1;248
124;Czy w przedstawionej sytuacji jesteś ostrzegany o częstym występowaniu zablokowania ruchu pojazdów (korka)?;A-33 (5)org.jpg;2;1;249
125;Kierując motocyklem, uczestniczysz w wypadku drogowym, w którym jest ranny. Czy obowiązuje Cię zakaz usuwania pojazdu z miejsca wypadku?;img_4604zz.jpg;1;1;251
126;Czy w tej sytuacji masz obowiązek przesunąć uszkodzony motocykl na pobocze drogi?;0590D14MM_motocyklorgbm.jpg;1;1;253
127;Czy w tej sytuacji masz obowiązek przesunąć na pobocze motocykl, który uległ awarii?;0357D14MM_motocyklorgbm.jpg;1;1;255
128;Czy w tej sytuacji masz obowiązek przesunąć uszkodzony motocykl na pas awaryjny?;1444D15_Amotocyklorgbm.jpg;1;1;257
129;Czy w tej sytuacji masz obowiązek przestawić uszkodzony motocykl na pas awaryjny?;410D15_motocyklorgbm.jpg;1;1;259
130;Czy w tej sytuacji masz obowiązek sygnalizować postój uszkodzonego ciągnika rolniczego?;1001D14_traktor_z2orgbm.jpg;1;1;261
131;Czy w tej sytuacji widoczny sygnał zezwala Ci na wjazd za sygnalizator, jeżeli nie utrudnisz tym ruchu pojazdom nadjeżdżającym z przeciwka?;0566D18_aorgbm.jpg;3;1;264
132;Czy w tej sytuacji masz obowiązek używać świateł mijania lub świateł do jazdy dziennej?;B.1.6.3.Bzdorg.wmv;1;1;265
133;Czy w warunkach zmniejszonej przejrzystości powietrza wolno Ci jechać z włączonymi światłami do jazdy dziennej?;B.1.6.7.Bzorg.wmv;1;1;268
134;Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi, który nadjeżdża z prawej strony?;D42_19org.wmv;3;1;269
135;Czy w sytuacji, gdy zamierzasz jechać na wprost, masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?;D42_2org.wmv;3;1;271
136;Czy włączając się do ruchu po zabraniu pasażera, masz pierwszeństwo przed nadjeżdżającym pojazdem, który skręca w lewo na stanowisko postojowe?;D42_5org.wmv;3;1;274
137;Rozpoczynasz jazdę. Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi widocznemu w lusterku?;D42_16org.wmv;3;1;275
138;Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi widocznemu w lusterku?;D42_12org.wmv;3;1;277
139;Czy znak ustawiony na prawej jezdni oznacza zakaz ruchu w obu kierunkach?;D20_0079org.jpg;3;1;279
140;Czy możesz skorzystać z tej drogi, chcąc wjechać do myjni?;IMG_0004borg.jpg;3;1;282
141;Czy w przedstawionej sytuacji wolno Ci skręcić w prawo?;IMG_0486d5org.jpg;3;1;284
142;Czy w tej sytuacji masz prawo kontynuować manewr wyprzedzania?;WC_D17_25org.wmv;3;1;285
143;Czy w tej sytuacji masz prawo wyprzedzić skręcający pojazd?;W12(14)org.wmv;3;1;287
144;Czy w tej sytuacji wolno Ci wyprzedzić pojazd z prawej strony?;WC_D17_30_org_2.wmv;3;1;290
145;Czy w tej sytuacji masz prawo wyprzedzić pojazd?;WC_D17_33org.wmv;3;1;292
146;Czy w tej sytuacji, na obszarze zabudowanym, wolno Ci wyprzedzić pojazd z prawej strony?;WC_D17_36org.wmv;3;1;293
147;Czy w tej sytuacji wolno Ci wyprzedzić pojazd?;WC_D17_38org.wmv;3;1;295
148;Czy w tej sytuacji należy powstrzymać się od wyprzedzenia pojazdu?;WC_D17_09org.wmv;3;1;297
149;Czy w tej sytuacji masz prawo kontynuować manewr wyprzedzania?;WC_D17_15_org_2.wmv;3;1;299
150;Czy w tej sytuacji masz prawo wyprzedzić pojazd?;WC_D17_23_org_2.wmv;3;1;302
151;Czy w przedstawionej sytuacji zbliżasz się do drogi z pierwszeństwem przejazdu?;IMG_1229d6org.jpg;3;1;303
152;Czy w przedstawionej sytuacji jesteś obowiązany do zatrzymania się przed znakiem?;D20_0181org.jpg;3;1;306
153;Czy w przedstawionej sytuacji wolno Ci skręcić w lewo?;IMG_1645d6org.jpg;3;1;308
154;Czy na widocznym skrzyżowaniu wolno Ci zawrócić?;IMG_1701d6org.jpg;3;1;310
155;Czy ten znak zakazu umieszczony w obrębie skrzyżowania dotyczy tylko jezdni, przy której jest ustawiony?;IMG_4362org.jpg;3;1;311
156;Czy w tej sytuacji masz prawo zatrzymać pojazd na poboczu?;IMG_1451orgbm.jpg;2;1;314
157;Czy na najbliższym skrzyżowaniu wolno Ci oczekiwać na możliwość zawrócenia w obrębie pasa dzielącego jezdnie?;1.5.1.-3 IMG_0720orgbm.jpg;2;1;315
158;Czy w tej sytuacji zajmujesz właściwy pas ruchu?;MD_D6_03_org.wmv;2;1;318
159;Czy w tej sytuacji, zajmując prawy pas ruchu, będziesz mógł poprawnie wykonać skręt w lewo?;IMG_1707d8orgbm.jpg;2;1;320
160;Czy w tej sytuacji, zamierzając skręcić w prawo, powinieneś jechać dalej zajmowanym pasem ruchu i zmienić go bezpośrednio przed skrzyżowaniem?;IMG_6706_1orgbm.jpg;2;1;322
161;Czy w tej sytuacji, gdy zamierzasz jechać do Gdańska, należy zmienić pas ruchu na lewy?;IMG_9314orgbm.jpg;2;1;324
162;Czy w tej sytuacji możesz jechać na wprost dowolnym pasem ruchu, gdy w tunelu nie ma innych pojazdów?;IMG_028d9orgbm.jpg;2;1;326
163;Czy masz prawo zatrzymać pojazd w odległości 11m za tym znakiem drogowym?;IMG_8614orgbm.jpg;2;1;328
164;Czy w tej sytuacji masz prawo zatrzymać pojazd na pasie między jezdniami?;IMG_9870orgbm.jpg;2;1;330
165;Czy wolno Ci zaparkować pojazd w tej zatoce?;IMG_3136aorgbm.jpg;2;1;332
166;Czy w tej sytuacji wolno Ci zaparkować pojazd na poboczu?;IMG_1451orgbm.jpg;2;1;334
167;Czy bezpośrednio za tym znakiem masz prawo zatrzymać pojazd na poboczu, jeżeli nie utrudni to ruchu innych pojazdów?;IMG_0296d8org.jpg;2;1;336
168;Zamierzasz zmienić pas ruchu na lewy. Czy masz pierwszeństwo przed pojazdami poruszającymi się tym pasem?;2845D15orgbm.jpg;2;1;338
169;Czy z zajmowanego pasa ruchu wolno Ci skręcić w lewo?;IMG_3170orgbm.jpg;2;1;340
170;Czy z zajmowanego pasa ruchu wolno Ci zawrócić?;IMG_7233orgbm.jpg;2;1;342
171;Czy z zajmowanego pasa ruchu wolno Ci zawrócić?;IMG_9975orgbm.jpg;2;1;344
172;Czy w tej sytuacji, na autostradzie, wolno Ci kontynuować wyprzedzanie pojazdu z prawej strony ?;D26_286org.jpg;3;1;345
173;Czy w tej sytuacji wyprzedzanie jest zabronione?;D26_488org.jpg;3;1;347
174;Czy w tej sytuacji, rozpoczynając manewr wyprzedzania, możesz spowodować wypadek?;D26_501org.jpg;3;1;349
175;Czy w tej sytuacji wolno Ci zawrócić?;1.5.2.-9_10 IMG_6359d8orgbm.jpg;2;1;352
176;Czy na tak oznakowanej drodze wolno Ci zawrócić?;IMG_7683d8orgbm.jpg;2;1;354
177;Czy wolno Ci zawrócić na widocznym odcinku drogi?;0589orgbm.jpg;2;1;356
178;Czy wolno Ci zawrócić na moście?;2934D15orgbm.jpg;2;1;358
179;Czy w tej sytuacji wolno Ci zmienić pas ruchu i skręcić w prawo?;IMG_6729_1orgbm.jpg;2;1;360
180;Zamierzasz wjechać na lewy pas ruchu. Czy masz pierwszeństwo przed pojazdami, które się nim poruszają?;IMG_6737_1org.jpg;2;1;362
181;Czy masz obowiązek użyć kierunkowskazu, jeśli zamierzasz wjechać na prawy pas?;IMG_7431_1orgbm.jpg;2;1;363
182;Czy masz obowiązek sygnalizować zamiar zmiany pasa ruchu, jeśli w tej sytuacji jedziesz przy prawej krawędzi jezdni?;IMG_7431aorgbm.jpg;2;1;365
183;Czy w tej sytuacji, jadąc środkowym pasem ruchu, masz pierwszeństwo przed pojazdem wjeżdżającym na ten pas z prawej strony?;IMG_8664orgbm.jpg;2;1;367
184;Czy w tej sytuacji masz obowiązek użycia kierunkowskazu, jeśli zamierzasz zmienić pas ruchu?;IMG_8826orgbm.jpg;2;1;369
185;Czy w tej sytuacji, wjeżdżając na sąsiedni pas ruchu, masz pierwszeństwo?;IMG_9335orgbm.jpg;2;1;372
186;Czy w tej sytuacji wolno Ci jeszcze skręcić w prawo?;IMG_8169orgbm.jpg;2;1;374
187;Czy w tym miejscu wolno Ci zmienić pas ruchu?;1.5.2.-32 IMG_0571orgbm.jpg;2;1;376
188;Czy na tej drodze wolno Ci zrezygnować z sygnalizowania zamiaru skrętu w prawo, jeśli nikt za Tobą nie jedzie?;IMG_6703_1orgbm.jpg;2;1;378
189;Czy na tym skrzyżowaniu wolno Ci zawrócić?;0255d8orgbm.jpg;2;1;379
190;Czy w przedstawionej sytuacji wolno Ci skręcić w prawo w najbliższą jezdnię?;IMG_2071d8org.jpg;3;1;382
191;Czy w przedstawionej sytuacji obowiązuje Cię zakaz zawracania od miejsca ustawienia znaku do najbliższego skrzyżowania włącznie?;1805D14MMorg.jpg;3;1;383
192;Czy w tej sytuacji wolno Ci skręcić w lewo na najbliższym skrzyżowaniu?;IMG_4300org.jpg;3;1;385
193;Czy w tej sytuacji masz prawo rozpocząć wyprzedzanie?;D26_601org.jpg;3;1;388
194;Czy w tej sytuacji masz prawo wyprzedzić motocykl jednośladowy, jeśli kierujesz motocyklem wielośladowym?;IMG_8905d8Dorg.jpg;3;1;389
195;Czy w tej sytuacji, kierując samochodem ciężarowym o dopuszczalnej masie całkowitej 12 ton, masz prawo wyprzedzić samochód osobowy?;D38_5661org.jpg;3;1;392
